"","Inflación Anual","Inflación Anual Permanente","Inflación Anual Transitoria"
"1",1,0.4,0.6
"2",1.1,0.5,0.6
"3",1.3,1.8,-0.5
"4",1.4,2.9,-1.5
"5",1.2,3.6,-2.4
"6",1.3,4.3,-3
"7",1.1,4.4,-3.3
"8",1.3,5,-3.7
"9",2.2,6,-3.8
"10",2.3,6,-3.7
"11",2.1,5.6,-3.5
"12",1.8,4.2,-2.4
