"","Tendencia - 1","Tendencia - 2","Tendencia - 3"
"Costos.l2",19.293,-7.8705,2.4886
"Monetario.l2",-2.1222,-1.8346,5.8966
"Demanda.l2",-6.2631,-2.362,-2.0564
"trend.l2",0.1699,0.6387,0.1248
