Periodo,IGAE
2014/02,101.6198838
2014/03,101.3340526
2014/04,102.3085662
2014/05,102.900517
2014/06,102.3945595
2014/07,102.9052562
2014/08,102.7104034
2014/09,102.8013705
2014/10,103.8819263
2014/11,103.9233663
2014/12,103.9219838
2015/01,104.1321585
2015/02,104.5741951
2015/03,104.3892081
2015/04,106.0738066
2015/05,105.139368
2015/06,105.3025475
2015/07,106.3766027
2015/08,106.5651223
2015/09,107.8278602
2015/10,106.7711585
2015/11,105.9886112
2015/12,106.4180317
2016/01,107.3356422
2016/02,108.1407263
2016/03,107.4930389
2016/04,107.3958241
2016/05,107.7465167
2016/06,108.5118573
2016/07,108.493583
2016/08,108.5334351
2016/09,109.5596829
2016/10,109.6717988
2016/11,109.5917418
2016/12,110.3500385
2017/01,110.556452
2017/02,109.9740127
2017/03,110.1797289
2017/04,110.6084414
2017/05,110.210593
2017/06,110.9123899
2017/07,110.1370424
2017/08,111.2127261
2017/09,110.5313694
2017/10,110.8388502
2017/11,111.5737549
2017/12,112.4661984
2018/01,111.8119331
2018/02,112.5154421
2018/03,112.7988417
2018/04,112.1505794
2018/05,112.6816755
