"","V1"
"Actividades.Primarioas",0.162991600189906
"Actividades.Secundarias",0.189942365034657
"Actividades.Terciarias",0.404990912743217
"Mineria",0.0563506923925117
"Manufactura",0.113396743311921
"Construccion",0.286022475816752
"Energia",0.253335958467159
"Desempleo",0.411558793004016
"Industria.EUA",-0.0587400682055384
