"","V1"
"Actividades.Primarioas",0.178186379958274
"Actividades.Secundarias",0.183752512154429
"Actividades.Terciarias",0.400340802098431
"Mineria",0.0582760414879761
"Manufactura",0.112713003432078
"Construccion",0.270938537323315
"Energia",0.241331194707302
"Desempleo",0.368241044596573
"Industria.EUA",-0.0787424795951324
