"","Tendencia - 1","Tendencia - 2","Tendencia - 3"
"Costos.l7",1.3756,-13.1361,4.9033
"Monetario.l7",6.589,3.5424,15.329
"Demanda.l7",-0.4566,9.2956,-6.9109
"constant",42.1396,78.7617,79.8465
