"","Tendencia - 1","Tendencia - 2","Tendencia - 3"
"Costos.l3",-17.2702,-9.3781,-8.1986
"Monetario.l3",6.9542,4.2529,21.3566
"Demanda.l3",10.9531,6.9605,-7.4729
"constant",170.1114,77.0449,78.8064
