"","Tendencia - 1","Tendencia - 2","Tendencia - 3"
"Costos.l8",-17.3596,-0.6764,-11.2472
"Monetario.l8",8.4448,14.8099,3.8672
"Demanda.l8",9.1981,-3.8475,7.9537
"constant",117.8201,67.6137,73.4474
